Paper No.,Title,Authors,DOI
1,Comparison between ZnO films grown by atomic layer deposition using H2O or O3 as oxidant,"Seong Keun Kim, Cheol Seong Hwang, Sang-Hee Ko Park, Sun Jin Yun",10.1016/j.tsf.2004.10.015
2,Piezoelectric thin film pressure sensor made by atomic layer deposition of 002-oriented ZnO on Si<sub>3</sub>N<sub>4</sub> membrane,"Boris Hudec, Gabriel Vanko, Marian Precner, Edmund Dobrocka, Alena Seifertova, Jan Fedor, Jaroslav Tobik, Karol Frohlich",10.1109/asdam55965.2022.9966760
3,Opto-Electronic Monolayer ZnO Memristor Produced via Low Temperature Atomic Layer Deposition,"Junyao Mei, Bo Chen, Pengpeng Sang, Jixuan Wu, Xuepeng Zhan, Jiezhi Chen",10.1109/icta60488.2023.10364307
4,Aluminum Boron Nitride Ferroelectric Field-Effect Transistors With ZnO Semiconductor Channel,"Quyen Tran, John Hayden, Joseph Casamento, Jon-Paul Maria, Thomas Jackson",10.1109/ted.2025.3570279
