Paper No.,Title,Authors,DOI
1,Low-temperature atomic layer deposition of ZnO films on particles in a fluidized bed reactor,"David King, Xinhua Liang, Peng Li, Alan Weimer",10.1016/j.tsf.2008.05.026
2,Atomic layer deposition of quantum-confined ZnO nanostructures,"David King, Samantha Johnson, Jianhua Li, Xiaohua Du, Xinhua Liang, Alan Weimer",10.1088/0957-4484/20/19/195401
3,Crystal Phase Evolution in Quantum Confined ZnO Domains on Particles via Atomic Layer Deposition,"David King, Jianhua Li, Xinhua Liang, Samantha Johnson, Melinda Channel, Alan Weimer",10.1021/cg9000939
