Paper No.,Title,Authors,DOI
1,Amorphous IGZO TFT with High Mobility of ∼70 cm<sup>2</sup>/(V s) via Vertical Dimension Control Using PEALD,"Jiazhen Sheng, Taehyun Hong, Hyun-Mo Lee, Kyoungrok Kim, Masato Sasase, Junghwan Kim, Hideo Hosono, Jin-Seong Park",10.1021/acsami.9b14310
2,Impact of Annealing Temperature on Atomic Layer Deposited In–Ga–Zn–O Thin-Film Transistors,"Hyun-Jun Jeong, Yoon-Seo Kim, Seok-Goo Jeong, Jin-Seong Park",10.1021/acsaelm.2c00079
3,Novel Vertical Channel-All-Around (CAA) In-Ga-Zn-O FET for 2T0C-DRAM With High Density Beyond 4F<sup>2</sup> by Monolithic Stacking,"Xinlv Duan, Kailiang Huang, Junxiao Feng, Jiebin Niu, Haibo Qin, Shihui Yin, Guangfan Jiao, Daniele Leonelli, Xiaoxuan Zhao, Zhaogui Wang, Weiliang Jing, Zhengbo Wang, Ying Wu, Jeffrey Xu, Qian Chen, Xichen Chuai, Congyan Lu, Wenwu Wang, Guanhua Yang, Di Geng, Ling Li, Ming Liu",10.1109/ted.2022.3154693
4,Atmospheric pressure spatial ALD of Al2O3 thin films for flexible PEALD IGZO TFT application,"Kwang Yoo, Dong-Gyu Kim, Seunghwan Lee, Won-Bum Lee, Jin-Seong Park",10.1016/j.ceramint.2022.03.157
5,Exploration of Chemical Composition of In–Ga–Zn–O System via PEALD Technique for Optimal Physical and Electrical Properties,"Taehyun Hong, Yoon‐seo Kim, Su‐hwan Choi, Jun Lim, Jin‐seong Park",10.1002/aelm.202201208
6,Thermally Activated Defect Engineering for Highly Stable and Uniform ALD-Amorphous IGZO TFTs with High-Temperature Compatibility,"Dong-Gyu Kim, Won-Bum Lee, Seunghee Lee, Jihyun Koh, Bongjin Kuh, Jin-Seong Park",10.1021/acsami.3c06517
7,The Significance on Structural Modulation of Buffer and Gate Insulator for ALD Based InGaZnO TFT Applications,"Wan-Ho Choi, Kyoungrok Kim, Seok-Goo Jeong, Ju-Hwan Han, Jaeman Jang, Jiyong Noh, Kwon-Shik Park, Jeom-Jae Kim, Soo-Young Yoon, Woojin Jeon, Jin-Seong Park",10.1109/ted.2021.3117749
