Paper No.,Title,Authors,DOI
1,Effect of Process Parameters on Remote PEALD for HighlyTransparent ZnO Film Growth,"Sung-Ku Kwon, Dae-Woon Kim, Yong-Ho Jung, Bong-Ju Lee",10.3938/jkps.55.999
2,Bias-stress instabilities in low-temperature thin-film transistors made of Al2O3 and ZnO films deposited by PEALD,"J Castillo-Saenz, N Nedev, E Martinez-Guerra, B Valdez-Salas, M Mendivil-Palma, M Curiel-Alvarez, M Aleman, M Lopez-Castillo, J Hernández-López, P Toledo-Guizar, N Hernández-Como",10.1016/j.mee.2022.111788
